K,nodes,edges,density,avg_degree,avg_weighted_degree,connected_components,largest_component_size,avg_clustering,transitivity,avg_path_length,diameter,modularity,n_communities,ari_vs_previous_k,ari_vs_domains,within_Technology,within_Education,within_Ethics/Society,within_Environment
2,60,90,0.05084745762711865,3.0,1.2519592978699239,1,60,0.10286108664177043,0.1134453781512605,1.707286110503906,3.6687276579852943,0.5895426946455877,7,,0.0602272044238745,0.10293658714709732,0.11806905404319448,0.2593836877095329,0.3343965523836733
3,60,136,0.0768361581920904,4.533333333333333,1.7946996998076927,1,60,0.09164279785350926,0.12169312169312169,1.0607027523041674,1.933964972239999,0.4406291052751391,6,0.2940641972111692,0.058975625344992885,0.10293658714709732,0.11806905404319448,0.2593836877095329,0.3343965523836733
5,60,219,0.12372881355932204,7.3,2.7116993965350855,1,60,0.1342777725743186,0.20610687022900764,0.7310232866226531,1.3049434766665422,0.33955550418957525,6,0.29602475537042305,0.10506202598624258,0.10293658714709732,0.11806905404319448,0.2593836877095329,0.3343965523836733
