domain,n_statements,mean_correlation,median_correlation,std_correlation,min_correlation,max_correlation
Technology,15,0.10293658714709732,0.11466865564156824,0.14043044511724115,-0.285774890924375,0.4884822126217584
Education,15,0.11806905404319448,0.1198615298400195,0.20304478416059615,-0.4403903433474599,0.6041812767958884
Ethics/Society,15,0.2593836877095329,0.267960539448002,0.12006040841752239,-0.034177807856338345,0.5456765191344372
Environment,15,0.3343965523836733,0.3342415836551852,0.11303095589087359,0.11445789527876522,0.6295631831691062
