metric,observed,er_mean,er_std,er_zscore,er_p_gt,config_mean,config_std,config_zscore,config_p_gt
avg_degree,4.533333333333333,4.533333333333333,0.0,,0.0,4.326333333333333,0.07450472457695093,2.778347295092722,0.0
transitivity,0.12169312169312169,0.07750766401017405,0.018047238141106096,2.448322415733334,0.01,0.05906697347732181,0.0152134998944569,4.11648526967933,0.0
avg_path_length,1.0607027523041674,2.808734428854134,0.04772136464041302,-36.629959971212536,1.0,2.8878700564971753,0.0441567805438318,-41.37908791559856,1.0
diameter,1.933964972239999,5.68,0.5663992238766582,-6.613771470449181,1.0,5.22,0.4163331998932267,-7.8928008350108545,1.0
modularity,0.4406291052751391,0.39920117863321797,0.01690425786098763,2.4507391559336225,0.01,0.4160171929376269,0.017403669807294502,1.4141794581276452,0.1
